timestamp,latency_ms
1756287251.4740043,36.61
1756287251.6271837,1.6
1756287251.8281615,1.49
1756287252.0274205,0.67
1756287252.2309763,1.55
1756287252.4311156,1.09
1756287252.6334307,1.45
1756287252.8342807,1.43
1756287253.0389977,1.51
1756287253.2233856,1.47
1756287253.425556,1.54
1756287253.6276073,1.51
1756287253.828993,1.3
1756287255.0391064,1.15
1756287255.22423,1.44
1756287255.426261,1.42
1756287255.6283436,1.44
1756287255.829988,1.31
1756287257.0408845,1.6
1756287257.2253704,1.49
1756287257.4272707,1.43
1756287257.6294692,1.75
1756287257.8316798,1.31
1756287259.0418105,1.53
1756287259.2268517,1.56
1756287259.4288368,1.67
1756287259.6306155,1.51
1756287259.8329723,1.58
1756287261.0426066,1.59
1756287261.2274702,1.48
1756287261.429269,1.43
1756287261.6311624,1.46
1756287261.8330555,1.39
1756287263.0437965,1.51
1756287263.2286193,1.55
1756287263.430783,1.5
1756287263.6324964,1.51
1756287263.83385,1.09
1756287265.0455475,1.72
1756287265.2293942,1.63
1756287265.4315596,1.47
1756287265.6332135,1.49
1756287265.8345022,1.12
1756287267.0465252,1.49
1756287267.2302406,1.44
1756287267.4329884,1.55
1756287267.6339157,1.46
1756287267.8359926,1.73
1756287269.0470827,1.56
1756287269.2309537,1.44
1756287269.4334958,1.46
1756287269.6352835,1.49
1756287269.8366177,1.5
1756287271.0484567,1.52
1756287271.2322783,1.4
1756287271.4341664,1.38
1756287271.635797,1.44
1756287271.836792,0.96
1756287273.049611,1.5
1756287273.2336583,1.68
1756287273.435741,1.55
1756287273.6366374,1.41
1756287273.8382244,1.44
1756287275.0502243,1.42
1756287275.2342644,1.44
1756287275.4370723,1.59
1756287275.6375477,1.52
1756287275.839269,1.63
1756287277.0511372,1.49
1756287277.2344072,0.68
1756287277.4376597,1.6
1756287277.63869,1.92
1756287277.8402622,1.89
1756287279.0517623,1.43
1756287279.236212,1.4
1756287279.4385748,1.43
1756287279.639367,1.72
1756287279.840366,1.4
1756287281.0525458,1.42
1756287281.23721,1.43
1756287281.4393976,1.45
1756287281.641766,1.91
1756287281.8411338,1.38
1756287283.0534825,1.46
1756287283.2380912,1.55
1756287283.4401426,1.37
1756287283.6410806,1.39
1756287283.8416853,1.07
1756287285.0545206,1.61
1756287285.2381835,1.32
1756287285.44023,1.08
1756287285.6411474,1.09
