timestamp,latency_ms
1756292657.6452463,38.3
1756292657.6805017,1.54
1756292657.905623,1.69
1756292658.0883977,1.85
1756292658.2948065,1.54
1756292658.502864,1.46
1756292658.7023392,1.08
1756292658.9010572,1.29
1756292659.10647,1.45
1756292659.2996008,1.53
1756292659.56143,1.37
1756292659.6823575,1.55
1756292659.902288,1.59
1756292660.086674,1.57
1756292660.2955685,1.51
1756292661.5628798,1.47
1756292661.6834762,1.5
1756292661.9026332,1.14
1756292662.0881448,1.36
1756292662.2970033,1.45
1756292663.5640087,1.1
1756292663.6854217,1.33
1756292663.911174,1.46
1756292664.0889182,1.18
1756292664.2981281,1.45
1756292665.5655432,1.49
1756292665.6864965,1.51
1756292665.9126828,1.5
1756292666.0900419,1.5
1756292666.299237,1.47
1756292667.5669327,1.32
1756292667.6879275,1.19
1756292667.9074326,1.45
1756292668.0912454,1.49
1756292668.3000846,1.25
1756292669.5678575,1.5
1756292669.6894145,1.51
1756292669.9091814,1.46
1756292670.092308,1.44
1756292670.3015795,1.49
1756292671.568908,1.15
1756292671.6907868,1.51
1756292671.9109101,1.63
1756292672.0927634,1.07
1756292672.3033705,1.47
1756292673.570132,1.27
1756292673.6915302,1.5
1756292673.912406,1.48
1756292674.093962,1.45
1756292674.3044407,1.46
1756292675.5721655,1.43
1756292675.6927059,1.48
1756292675.919336,1.4
1756292676.095266,1.37
1756292676.3051276,1.44
1756292677.5729234,1.39
1756292677.694832,1.75
1756292677.9142509,1.45
1756292678.1027246,1.46
1756292678.3066163,1.44
1756294000.7322989,374.43
1756294000.757494,254.34
1756294001.023851,321.03
1756294001.228369,324.01
1756294001.4330683,328.85
1756294002.6629615,347.11
1756294002.7504718,284.78
1756294002.9696257,303.24
1756294003.172257,303.56
1756294003.3773427,308.66
1756294004.605425,321.98
1756294004.810359,377.29
1756294005.3215508,691.03
1756294005.525941,644.18
1756294005.730822,528.47
1756294006.140179,577.75
1756294006.344776,537.73
1756294006.754292,744.24
1756294006.9587543,547.22
1756294006.9597094,547.95
